工作表,媒体类型,模型名称,模型ID,1K,2K,4K,其他规格,供应商,菜单最低,计算依据,KIE成本状态,KIE成本来源,来源链接,备注,360p,480p,540p,720p,1080p,其他/固定规格,计费方式
图片模型,图片,Nano Banana Pro,nano-banana-pro,"KIE API成本 $0.0400 / 张图
Toolaze收入 $0.1200 / 张图
Toolaze定价 24 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.0400 / 张图
Toolaze收入 $0.1200 / 张图
Toolaze定价 24 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.0700 / 张图
Toolaze收入 $0.2100 / 张图
Toolaze定价 42 积分 / 张图
成本率 33.3%
毛利率 66.7%",,Google,24+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/nano-banana-pro,,,,,,,,
图片模型,图片,Nano Banana 2,nano-banana-2,"KIE API成本 $0.0250 / 张图
Toolaze收入 $0.0750 / 张图
Toolaze定价 15 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.0400 / 张图
Toolaze收入 $0.1200 / 张图
Toolaze定价 24 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.0600 / 张图
Toolaze收入 $0.1800 / 张图
Toolaze定价 36 积分 / 张图
成本率 33.3%
毛利率 66.7%",,Google,15+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/nano-banana-2,,,,,,,,
图片模型,图片,Nano Banana 2 Lite,nano-banana-2-lite,"KIE API成本 $0.0150 / 张图
Toolaze收入 $0.0500 / 张图
Toolaze定价 10 积分 / 张图
成本率 30.0%
毛利率 70.0%",,,,Google,10+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/nano-banana-2-lite,,,,,,,,
图片模型,图片,GPT Image 2,gpt-image-2,"KIE API成本 $0.0150 / 张图
Toolaze收入 $0.0500 / 张图
Toolaze定价 10 积分 / 张图
成本率 30.0%
毛利率 70.0%","KIE API成本 $0.0250 / 张图
Toolaze收入 $0.0750 / 张图
Toolaze定价 15 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.0400 / 张图
Toolaze收入 $0.1200 / 张图
Toolaze定价 24 积分 / 张图
成本率 33.3%
毛利率 66.7%",,OpenAI,10+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/gpt-image-2,KIE接口同时返回英文 pricingDesc（1K $0.03、2K $0.05、4K $0.08）与中文 pricingDescCn（1K $0.015、2K $0.025、4K $0.04）；本表按用户截图同口径的中文可见价采用。,,,,,,,
图片模型,图片,GPT Image 1.5,gpt-image-1-5,,,,"medium
KIE API成本 $0.0200 / 张图
Toolaze收入 $0.0600 / 张图
Toolaze定价 12 积分 / 张图
成本率 33.3%
毛利率 66.7%

high
KIE API成本 $0.1100 / 张图
Toolaze收入 $0.3300 / 张图
Toolaze定价 66 积分 / 张图
成本率 33.3%
毛利率 66.7%",OpenAI,12+ 积分,medium × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/gpt-image-1.5,,,,,,,,
图片模型,图片,Grok 1.5 Image,grok-1-5-image,"KIE API成本见其他规格（KIE按模式/批量计费，不按1K/2K/4K列计费）
Toolaze收入 $0.0500 / 张图
Toolaze定价 10 积分 / 张图
成本率待确认
毛利率待确认","KIE API成本见其他规格（KIE按模式/批量计费，不按1K/2K/4K列计费）
Toolaze收入 $0.0750 / 张图
Toolaze定价 15 积分 / 张图
成本率待确认
毛利率待确认","KIE API成本见其他规格（KIE按模式/批量计费，不按1K/2K/4K列计费）
Toolaze收入 $0.1000 / 张图
Toolaze定价 20 积分 / 张图
成本率待确认
毛利率待确认",KIE页面价格：Standard 4 credits（$0.0200）/ 次，生成6张图；Quality 5 credits（$0.0250）/ 次，生成4张图。,xAI,10+ 积分,1K × 1张图（KIE成本口径待确认）,KIE价格已找到但与当前表规格口径不匹配,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/grok-imagine,KIE模型页 pricingDesc 有价格：Standard 为 $0.02/次（6张图），Quality 为 $0.025/次（4张图）；该价格不是按 1K/2K/4K 分辨率列计费，因此不计算分辨率列毛利率。,,,,,,,
图片模型,图片,Seedream 4.5,seedream-4-5,"KIE API成本 $0.0320 / 张图
Toolaze收入 $0.1000 / 张图
Toolaze定价 20 积分 / 张图
成本率 32.0%
毛利率 68.0%","KIE API成本 $0.0320 / 张图
Toolaze收入 $0.1000 / 张图
Toolaze定价 20 积分 / 张图
成本率 32.0%
毛利率 68.0%","KIE API成本 $0.0320 / 张图
Toolaze收入 $0.1000 / 张图
Toolaze定价 20 积分 / 张图
成本率 32.0%
毛利率 68.0%",,ByteDance,20+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedream-4-5,,,,,,,,
图片模型,图片,Seedream 5.0 Lite,seedream-5-0-lite,"KIE API成本 $0.0275 / 张图
Toolaze收入 $0.0850 / 张图
Toolaze定价 17 积分 / 张图
成本率 32.4%
毛利率 67.6%","KIE API成本 $0.0275 / 张图
Toolaze收入 $0.0850 / 张图
Toolaze定价 17 积分 / 张图
成本率 32.4%
毛利率 67.6%","KIE API成本 $0.0275 / 张图
Toolaze收入 $0.0850 / 张图
Toolaze定价 17 积分 / 张图
成本率 32.4%
毛利率 67.6%",,ByteDance,17+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedream5-0-lite,KIE价格为模型级每张图约 $0.0275，并说明 up to 3K；Toolaze 4K 列暂按同一模型级单价展示，若 KIE 对 4K 另行计价需再调整。,,,,,,,
图片模型,图片,Seedream 5.0 Pro,seedream-5-0-pro,"KIE API成本 $0.0350 / 张图
Toolaze收入 $0.1050 / 张图
Toolaze定价 21 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.0700 / 张图
Toolaze收入 $0.2100 / 张图
Toolaze定价 42 积分 / 张图
成本率 33.3%
毛利率 66.7%",,,ByteDance,21+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedream-5-0-pro,,,,,,,,
图片模型,图片,Wan 2.7 Image,wan-2-7-image,"KIE API成本 $0.0240 / 张图
Toolaze收入 $0.0750 / 张图
Toolaze定价 15 积分 / 张图
成本率 32.0%
毛利率 68.0%","KIE API成本 $0.0240 / 张图
Toolaze收入 $0.0750 / 张图
Toolaze定价 15 积分 / 张图
成本率 32.0%
毛利率 68.0%","KIE API成本 $0.0240 / 张图
Toolaze收入 $0.0750 / 张图
Toolaze定价 15 积分 / 张图
成本率 32.0%
毛利率 68.0%",,Wan AI,15+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/wan-2-7-image,KIE页面同时列出 WAN-2.7 Image Pro $0.06/图和 WAN-2.7 Image $0.024/图；本行按非 Pro 的 Wan 2.7 Image 映射。,,,,,,,
图片模型,图片,Flux 2 Pro,flux-2-pro,"KIE API成本 $0.0250 / 张图
Toolaze收入 $0.0750 / 张图
Toolaze定价 15 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.0350 / 张图
Toolaze收入 $0.1050 / 张图
Toolaze定价 21 积分 / 张图
成本率 33.3%
毛利率 66.7%",,,Black Forest Labs,15+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/flux-2,,,,,,,,
图片模型,图片,Flux 2 Flex,flux-2-flex,"KIE API成本 $0.0700 / 张图
Toolaze收入 $0.2100 / 张图
Toolaze定价 42 积分 / 张图
成本率 33.3%
毛利率 66.7%","KIE API成本 $0.1200 / 张图
Toolaze收入 $0.3600 / 张图
Toolaze定价 72 积分 / 张图
成本率 33.3%
毛利率 66.7%",,,Black Forest Labs,42+ 积分,1K × 1张图,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/flux-2,,,,,,,,
视频模型,视频,Talking Avatar Creator / Infinitalk,infinitalk,,,,,Other,6+ 积分,480p × 1秒,KIE官网已核实,KIE官方 pricing API; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/infinitalk,"KIE pricing API 记录名：MeiGen-AI InfiniteTalk, lip sync, up to 15 seconds；480p $0.015/s，720p $0.06/s。Talking Avatar 前端按已接受音频秒数向上取整估算；历史回填无音频秒数时按 15 秒上限保守计价。",,"每输出秒:
KIE API成本 $0.0150 / 输出秒
Toolaze收入 $0.0300 / 输出秒
Toolaze定价 6 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,"每输出秒:
KIE API成本 $0.0600 / 输出秒
Toolaze收入 $0.1200 / 输出秒
Toolaze定价 24 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,,按向上取整后的输出秒计费
