keyword,intent,page_type,kd,us_volume,global_volume,priority,rationale,cannibalization_risk,recommended_page_angle
ai hairstyle changer,工具/交易型,AI Tools scene,unverified,unverified,unverified,P0,"Google US 第一页以可上传照片的发型试戴工具为主，主词与页面功能完全匹配","低：站内暂无同 intent 页面","单图上传 + 图片式发型预设 + 可编辑 prompt"
free ai hairstyle changer,工具/交易型,AI Tools scene,unverified,unverified,unverified,P0,"SERP 和 People also search for 均出现 free 修饰词；项目允许 AI Tools 使用 free","低","在 metadata、H1、FAQ 中自然使用 free online"
ai hairstyle changer online,工具/交易型,AI Tools scene,unverified,unverified,unverified,P0,"排名页面普遍使用 online，用户希望浏览器直接试用","低","强调在线上传照片并预览发型"
try hairstyles on my photo,强工具型,AI Tools scene,unverified,unverified,unverified,P0,"直接描述用户任务，比抽象的 generator 更接近转化","低","H1 副文案和 how-to 使用真实照片试戴语言"
virtual hairstyle try on,工具/比较型,AI Tools scene,unverified,unverified,unverified,P1,"AI Ease 和大批竞品采用 virtual try-on 心智","低","解释这是视觉预览，不保证真实剪发结果"
ai haircut simulator,工具型,AI Tools scene,unverified,unverified,unverified,P1,"用户在剪发前比较 bob、pixie、fade 等","中：不要扩展成脸型诊断","使用 haircut preview，不写 face shape analysis"
ai hairstyle changer for men,工具型,AI Tools scene,unverified,unverified,unverified,P1,"Google People also search for 明确出现男性长尾","低","加入 Buzz Cut、Textured Crop、Taper Fade"
ai hairstyle changer for women,工具型,AI Tools scene,unverified,unverified,unverified,P1,"SERP 竞品普遍区分男女预设","低","加入 Bob、Pixie、Bangs、Long Layers、Braids"
hairstyle changer no login,工具/交易型,AI Tools scene,unverified,unverified,unverified,P1,"Google People also search for 出现 without login；项目允许 no signup","低","在真实产品条件下使用 no signup"
hairstyle generator from photo,工具型,AI Tools scene,unverified,unverified,unverified,P1,"强调 reference image 工作流","中：避免与泛 AI image-to-image 页面重叠","页面始终围绕头发剪裁和造型，不扩展为泛编辑器"
try bob haircut online,长尾工具型,AI Tools scene,unverified,unverified,unverified,P2,"Bob 是竞品默认 prompt 和常见 preset","低","作为预设、示例和 FAQ 场景"
try pixie cut online,长尾工具型,AI Tools scene,unverified,unverified,unverified,P2,"Pixie 在 VisualGPT、Imagine.Art 等页面重复出现","低","作为预设和 before/after 示例"
ai hair color changer,工具型,Separate page,34,3600,4400,Exclude,"已有独立 Hair Color Changer 页面且已通过 Factory","高","仅作为相关工具内链，不在本页主攻"
what hairstyle suits me,信息/诊断型,Guide or analysis page,unverified,unverified,unverified,Exclude,"容易诱导脸型、肤色或专业建议声明，当前产品未验证","高","本页不承诺推荐最适合发型，仅提供视觉预览"
